년도,행정구역읍면동코드,행정구역읍면동명,노인인구수,노인인구증감율,미성년자인구수,미성년자인구증감율,여자인구수,여자인구수증감율
2021,1168051000,신사동,3025,2.13,2477,-6.53,8578,-4.05
2021,1168052100,논현동,2957,-0.27,1495,-6.15,11692,-4.1
2021,1168053100,논현동,3150,-0.19,2297,-5.86,11197,-3.62
2021,1168054500,압구정동,5166,1.53,4753,-4.27,14118,-3.93
2021,1168056500,청담동,3727,-2.26,4185,-5.81,13697,-4.83
2021,1168058000,삼성동,2149,3.32,2027,-5.19,6544,-3.4
2021,1168059000,삼성동,3645,7.55,5850,-1.25,15876,0.6
2021,1168060000,대치1동,2527,8.64,7111,-5.3,12014,-2.85
2021,1168061000,대치2동,4959,6.05,8098,-3.24,18024,-2.45
2021,1168063000,대치4동,2102,1.3,3095,-6.69,10451,-3.36
2021,1168064000,역삼동,3686,0.77,2362,-4.99,18302,-1.0
2021,1168065000,역삼동,3657,1.61,8154,-4.17,19158,-2.49
2021,1168065500,도곡동,2964,2.45,4029,-2.35,11272,-3.02
2021,1168065600,도곡동,4885,4.34,7488,-2.85,17763,-2.18
2021,1168066000,개포1동,1619,3.38,950,-2.46,3323,-3.03
2021,1168067000,개포2동,3638,15.9,5851,39.28,14350,24.87
2021,1168069000,개포4동,3231,8.82,3929,5.79,12230,5.65
2021,1168070000,세곡동,6561,3.57,8559,-5.54,22806,-1.94
2021,1168072000,일원동,3087,7.82,5309,-5.23,11778,-2.85
2021,1168073000,일원동,3286,4.22,1774,-9.17,7687,-3.74
2021,1168074000,일원동,3418,7.99,2907,-3.26,9039,-0.56
2021,1168075000,수서동,4639,5.26,1167,-3.79,8096,-2.66
2021,11710,송파구,97503,4.49,106008,-3.46,340992,-1.35
2021,1171051000,풍납동,2712,-2.52,1428,-10.25,6569,-7.11
2021,1171052000,풍납동,3818,4.03,3788,-6.38,13008,-2.82
2021,1171053100,거여1동,2410,4.87,1507,-11.04,6204,-3.08
2021,1171053200,거여2동,3545,1.75,2669,-8.5,9516,-2.82
2021,1171054000,마천1동,4210,1.01,2344,-10.12,9252,-4.22
2021,1171055000,마천2동,4054,0.37,2022,-11.97,9177,-4.82
2021,1171056100,방이1동,2239,4.82,2571,-7.62,8127,-3.08
2021,1171056200,방이2동,3538,4.18,2295,-7.05,14185,2.4
2021,1171056600,오륜동,2855,9.47,3809,-7.84,9237,-1.67
2021,1171057000,오금동,6382,4.95,5687,-6.69,19810,-2.66
2021,1171058000,송파1동,3446,1.71,2374,-9.87,12716,-3.55
2021,1171059000,송파2동,2898,1.19,3265,-8.9,9909,-7.72
2021,1171060000,석촌동,4472,1.91,3286,-7.62,16518,-2.98
2021,1171061000,삼전동,3982,1.71,3353,-7.68,16071,-3.29
2021,1171062000,가락동,3799,4.08,3335,-5.47,13233,-3.03
2021,1171063100,가락동,3459,13.15,5410,-0.88,14062,-1.57
2021,1171063200,가락동,4272,4.14,5809,-5.42,16409,-2.18
2021,1171064100,문정1동,2958,1.34,2678,-7.01,10090,-3.78
2021,1171064200,문정2동,4000,4.63,2939,-6.79,15605,-1.05
2021,1171064600,장지동,4357,5.91,4858,-6.99,15256,-2.03
2021,1171064700,위례동,3062,35.43,11513,30.61,20053,28.93
2021,1171065000,잠실동,3763,2.65,2856,-7.33,14689,-2.57
2021,1171067000,잠실동,3700,5.47,9508,-5.37,18280,-3.09
2021,1171068000,잠실동,5789,7.08,7045,-4.2,18001,-2.66
2021,1171069000,잠실동,2800,3.02,5048,-3.11,11089,-1.72
2021,1171071000,잠실동,2829,2.35,3104,-4.23,8830,-2.74
2021,1171072000,잠실동,2154,2.38,1507,-8.0,5096,-3.41
2021,11740,강동구,73943,5.78,73171,-0.73,235662,0.82
2021,1174051500,강일동,5317,0.0,6657,-13.23,17054,-7.47
2021,1174052500,상일동,4392,,9082,,19680,
2021,1174052600,상일동,1493,,2161,,5393,
2021,1174053000,명일동,4028,4.62,4603,-1.2,13267,-1.45
2021,1174054000,명일동,2588,5.12,3587,-3.29,8934,0.95
2021,1174055000,고덕제1동,2854,2.66,6199,-5.89,11957,-6.35
2021,1174056000,고덕제2동,2997,8.94,4490,-0.64,11008,-0.84
2021,1174057000,암사제1동,6051,1.65,4510,-6.74,17372,-2.83
2021,1174058000,암사제2동,2376,2.24,2376,-3.06,7830,-1.67
2021,1174059000,암사제3동,2668,5.54,3777,-5.01,9135,-2.61
2021,1174060000,천호제1동,5218,4.38,2982,-7.79,13615,-2.59
2021,1174061000,천호제2동,5888,-0.98,3322,-7.72,16874,-3.52
2021,1174062000,천호제3동,4629,1.45,2466,-6.02,13640,0.35
2021,1174064000,성내제1동,3111,5.1,3154,-5.34,10304,-1.0
2021,1174065000,성내제2동,4355,3.32,2105,-9.7,11920,-3.71
2021,1174066000,성내제3동,3844,3.92,2864,-6.53,11753,-1.17
2021,1174068500,길동,7983,4.03,5142,-7.83,23354,-2.08
2021,1174069000,둔촌동,38,-60.42,9,-10.0,58,-55.73
2021,1174070000,둔촌동,4113,-0.44,3685,-7.97,12514,-6.32
