년도,행정구역읍면동코드,행정구역읍면동명,노인인구수,노인인구증감율,미성년자인구수,미성년자인구증감율,여자인구수,여자인구수증감율
2021,1123053600,용신동,5694,0.48,2702,-0.41,15722,2.3
2021,1123054500,제기동,5760,0.73,2310,-4.94,12005,-1.34
2021,1123056000,전농제1동,5631,0.02,3593,-5.57,14571,-3.08
2021,1123057000,전농제2동,3660,0.8,2820,-5.11,9622,-3.33
2021,1123060000,답십리제1동,4063,-1.93,4625,-1.97,15007,0.0
2021,1123061000,답십리제2동,5554,1.39,3646,-4.93,14553,-3.16
2021,1123065000,장안동,6497,3.05,4938,-4.63,19311,-0.83
2021,1123066000,장안동,5205,2.48,5506,-3.96,16274,-1.45
2021,1123070500,청량리동,5200,-0.97,1738,-8.67,9470,-4.8
2021,1123071000,회기동,1544,-0.96,1059,-8.63,5498,0.75
2021,1123072000,휘경동,2099,-1.18,1563,-0.51,7294,3.59
2021,1123073000,휘경동,3983,1.87,3124,-5.79,12072,-1.4
2021,1123074000,이문제1동,3143,-4.03,1833,-7.84,9026,-2.86
2021,1123075000,이문제2동,3976,3.49,2900,-6.84,10329,-2.04
2021,11260,중랑구,71560,3.2,46717,-6.23,196238,-1.65
2021,1126052000,면목동,4558,2.8,2594,-10.34,12049,-3.48
2021,1126054000,면목동,3819,3.69,2195,-2.4,9559,0.47
2021,1126055000,면목동,2218,3.94,2257,2.73,7363,2.19
2021,1126056500,면목동,6089,1.69,3190,-11.29,16896,-3.08
2021,1126057000,면목동,4309,2.57,2284,-7.04,10822,-3.05
2021,1126057500,면목동,5004,2.04,2379,-8.82,12487,-2.95
2021,1126058000,상봉제1동,3791,4.72,3524,-8.42,12332,-2.54
2021,1126059000,상봉제2동,3037,2.88,1485,-7.53,10540,3.25
2021,1126060000,중화제1동,3696,5.78,2372,-9.78,9987,-3.22
2021,1126061000,중화제2동,5019,1.03,2114,-5.5,12094,-2.78
2021,1126062000,묵동,5941,3.02,5127,-7.12,17804,-2.47
2021,1126063000,묵동,3600,4.2,2091,-10.1,9545,-3.22
2021,1126065500,망우동,6193,4.1,3889,14.92,16045,6.0
2021,1126066000,망우동,3393,2.94,1731,-12.0,8155,-4.4
2021,1126068000,신내동,6793,2.83,6683,-6.77,19860,-2.47
2021,1126069000,신내동,4100,5.4,2802,-10.68,10700,-3.63
2021,11290,성북구,74545,1.27,63312,-4.02,222950,-1.5
2021,1129052500,성북동,3052,-0.03,1841,-6.69,8807,-2.13
2021,1129055500,삼선동,3940,1.0,2789,-8.68,11956,-3.13
2021,1129057500,동선동,2264,0.04,1435,-6.45,8971,-0.99
2021,1129058000,돈암제1동,2882,0.73,1992,-8.54,7818,-4.0
2021,1129059000,돈암제2동,3493,2.02,4599,-6.03,12540,-2.78
2021,1129060000,안암동,2102,-2.59,1206,-5.85,7434,-0.65
2021,1129061000,보문동,2404,-0.12,1853,-4.29,7967,-2.27
2021,1129062000,정릉제1동,3112,0.48,3086,-4.58,9449,-2.28
2021,1129063000,정릉제2동,4440,1.39,3184,-6.85,11918,-1.75
2021,1129064000,정릉제3동,3277,-0.21,1442,-9.65,7555,-3.73
2021,1129065000,정릉제4동,4851,1.34,3526,-8.53,12881,-2.63
2021,1129066000,길동,4604,2.61,8572,-3.77,18614,-2.44
2021,1129068500,길동,2555,-0.82,2874,-0.21,8676,-1.4
2021,1129070500,종암동,6751,1.84,6052,-5.69,19559,-3.13
2021,1129071500,월곡제1동,4733,1.44,4453,-5.68,13616,-2.01
2021,1129072500,월곡제2동,3613,0.5,2409,-7.27,10087,-2.47
2021,1129076000,장위제1동,4060,9.7,3610,43.08,12404,19.32
2021,1129077000,장위제2동,3109,-0.1,1411,-6.06,6959,-0.64
2021,1129078000,장위제3동,2128,-9.29,2993,-6.18,8046,-7.41
2021,1129081000,석관동,7175,4.18,3985,-6.78,17693,-1.65
2021,11305,강북구,64218,1.43,34944,-7.41,153477,-2.81
2021,1130553400,삼양동,4943,1.17,3021,-8.12,11846,-3.82
2021,1130553500,미아동,4506,1.56,1935,-9.15,11162,-3.07
2021,1130554500,송중동,5992,0.1,3366,-7.02,15313,-2.82
2021,1130555500,송천동,6151,0.21,2483,-8.68,13287,-3.76
2021,1130557500,삼각산동,4497,3.05,6660,-5.09,16307,-1.77
2021,1130559500,번1동,3647,2.5,1596,-10.84,9082,-4.25
2021,1130560300,번2동,3999,1.37,1606,-9.78,8183,-3.26
2021,1130560800,번3동,4667,1.26,2101,-9.48,8953,-3.57
2021,1130561500,수유1동,4428,0.2,2196,-9.03,10444,-2.47
2021,1130562500,수유2동,4930,4.72,2343,-6.2,11104,-0.71
2021,1130563500,수유3동,4631,1.71,1809,-7.85,11519,-3.01
2021,1130564500,우이동,4857,1.61,2378,-4.61,10607,-1.25
2021,1130566000,인수동,6970,0.58,3450,-6.96,15670,-3.16
2021,11320,도봉구,64114,3.39,41355,-6.86,162879,-2.26
2021,1132051100,창동,4607,3.6,3473,-7.39,12974,-1.78
2021,1132051200,창동,5277,4.25,3770,-8.09,14926,-1.58
2021,1132051300,창동,2938,1.35,1708,-8.37,6916,-3.69
2021,1132051400,창동,4271,4.32,4147,-6.11,13741,-2.69
2021,1132051500,창동,4376,3.5,3295,-6.68,12857,-1.7
2021,1132052100,도봉동,5787,2.39,1920,-7.74,10440,-2.47
2021,1132052200,도봉동,6475,2.06,3109,-8.18,13731,-3.26
2021,1132066000,쌍문동,4611,4.13,2625,-6.55,11067,-2.0
2021,1132067000,쌍문동,3904,2.87,2248,-7.07,9776,-2.07
2021,1132068000,쌍문동,3456,1.83,1769,-2.8,8556,-0.86
2021,1132068100,쌍문동,3071,3.05,3053,-6.03,9809,-3.57
2021,1132069000,방학제1동,5862,4.73,3585,-4.81,14439,-0.82
2021,1132070000,방학제2동,4400,2.92,2223,-8.74,9743,-2.89
2021,1132071000,방학제3동,5079,5.5,4430,-7.17,13904,-2.86
2021,11350,노원구,88271,3.34,80970,-6.3,264903,-2.12
2021,1135056000,월계1동,4238,0.59,2685,-8.49,10453,-4.04
2021,1135057000,월계2동,5872,3.23,3573,-9.38,13774,-3.16
2021,1135058000,월계3동,6144,4.1,4152,-5.94,15619,-2.0
2021,1135059500,공릉동,6587,4.06,4419,-7.76,18761,-3.08
2021,1135060000,공릉동,5524,6.41,7237,-1.17,20684,1.5
2021,1135061100,하계동,4491,3.36,3978,-8.66,13834,-2.87
2021,1135061200,하계동,3225,3.2,4058,-6.69,11501,-3.05
2021,1135061900,중계본동,2533,-1.21,5835,-4.05,12296,-3.06
2021,1135062100,중계1동,2378,2.54,7380,-4.79,13776,-2.29
2021,1135062400,중계4동,4000,1.21,3214,-8.15,10344,-3.3
2021,1135062500,중계2.3동,7435,3.02,4824,-9.2,18506,-3.14
2021,1135063000,상계동,7085,3.87,5335,-7.02,19675,-2.02
2021,1135064000,상계동,3390,3.26,2665,-7.37,10091,-2.84
2021,1135066500,상계동,6116,0.97,3291,-7.03,13163,-3.29
2021,1135067000,상계동,5036,1.02,2952,-7.05,12333,-2.77
2021,1135069500,상계동,5084,4.54,5133,-7.63,17553,-2.21
2021,1135070000,상계동,2918,4.63,4167,-8.28,11731,-1.45
2021,1135071000,상계동,3481,4.88,3187,-10.02,10788,-2.76
2021,1135072000,상계동,2734,11.27,2885,7.21,10021,5.91
